episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
23,2,20022,-112.64346328493016,126,0.8955869907338783,1.522352967943464,1947,1947,True,False,False,2.288023700006306
24,2,20023,-226.5167478545993,74,0.8911090557802088,1.5854991497220219,2021,2021,True,False,False,2.425396100152284
25,2,20024,-49.998055885992784,113,0.8866535105013078,1.4327203510081874,2134,2134,True,False,False,2.6789206000976264
26,2,20025,-108.63827829398812,79,0.8822202429488012,1.4170630168688447,2213,2213,True,False,False,2.839920900063589
27,2,20026,-107.91739382100675,75,0.8778091417340572,1.662192129691442,2288,2288,True,False,False,3.0201189999934286
28,2,20027,-87.6691211608095,103,0.873420096025387,1.5043085275344479,2391,2391,True,False,False,3.260674700140953
29,2,20028,-113.68001766341094,64,0.86905299554526,1.431387738790363,2455,2455,True,False,False,3.4159889000002295
30,2,20029,-146.0314031218404,91,0.8647077305675337,1.4044655828358052,2546,2546,True,False,False,3.625177700072527
31,2,20030,58.40907444861179,146,0.8603841919146961,1.4130528341621569,2692,2692,True,False,False,3.9108007000759244
32,2,20031,-89.00249885265129,106,0.8560822709551226,1.5245980596486128,2798,2798,True,False,False,4.12228549993597
33,2,20032,-45.7647233080375,92,0.8518018596003469,1.5116155371069908,2890,2890,True,False,False,4.330903900088742
34,2,20033,-114.69754354893915,135,0.8475428503023452,1.5281649382026108,3025,3025,True,False,False,4.614491800079122
35,2,20034,-106.76590712788712,88,0.8433051360508335,1.433193669400432,3113,3113,True,False,False,4.763997900066897
36,2,20035,-81.77208375180464,93,0.8390886103705792,1.5213618078218993,3206,3206,True,False,False,4.9709429000504315
37,2,20036,-98.20688040818908,95,0.8348931673187264,1.370889689890962,3301,3301,True,False,False,5.178971300134435
38,2,20037,-342.9631230481489,146,0.8307187014821328,1.4974604279619375,3447,3447,True,False,False,5.490015899995342
39,2,20038,-149.26207869001746,92,0.826565107974722,1.3100555234629174,3539,3539,True,False,False,5.6833085000980645
40,2,20039,-111.14499073819653,123,0.8224322824348484,1.5640118131792642,3662,3662,True,False,False,5.935271700145677
41,2,20040,-272.5992986002941,144,0.8183201210226743,1.5096293538808823,3806,3806,True,False,False,6.276115300133824
42,2,20041,-30.84914240360176,85,0.8142285204175609,1.4366478394059574,3891,3891,True,False,False,6.4586394999641925
43,2,20042,-100.66829358348994,167,0.810157377815473,1.4905807980877197,4058,4058,True,False,False,6.846503600012511
44,2,20043,-140.01792714513687,106,0.8061065909263957,1.4529176109804298,4164,4164,True,False,False,7.083843800006434
45,2,20044,-99.28861087292168,61,0.8020760579717637,1.3803240490741417,4225,4225,True,False,False,7.208757100161165
46,2,20045,-285.4051334335712,182,0.7980656776819048,1.5042442276582613,4407,4407,True,False,False,7.587955299997702
47,2,20046,-93.45306356122728,122,0.7940753492934953,1.400313799498511,4529,4529,True,False,False,7.873761000111699
48,2,20047,-80.12157968034745,131,0.7901049725470278,1.2749894433121645,4660,4660,True,False,False,8.137082900153473
49,2,20048,-74.07487392791647,71,0.7861544476842928,1.5485571295442715,4731,4731,True,False,False,8.30697080004029
50,2,20049,-24.5854272621484,130,0.7822236754458712,1.39640662922309,4861,4861,True,False,False,8.606692499946803
51,2,20050,-22.969164505291104,119,0.7783125570686419,1.4303140983361156,4980,4980,True,False,False,8.856901200022548
52,2,20051,-54.19302875842776,81,0.7744209942832987,1.462577028406991,5061,5061,True,False,False,9.050057400017977
53,2,20052,-82.75223064922193,118,0.7705488893118821,1.5737741041486546,5179,5179,True,False,False,9.339074000017717
54,2,20053,-42.88183502410698,89,0.7666961448653228,1.4107091075248932,5268,5268,True,False,False,9.54130159993656
55,2,20054,-73.0037809033841,104,0.7628626641409961,1.4815184388023157,5372,5372,True,False,False,9.800544100115076
56,2,20055,-101.72324401715032,110,0.7590483508202912,1.4745239807800814,5482,5482,True,False,False,10.075905099976808
57,2,20056,-67.10359080233103,106,0.7552531090661897,1.4705474098336022,5588,5588,True,False,False,10.30392670002766
58,2,20057,-79.03340674152537,74,0.7514768435208588,1.5499878328394245,5662,5662,True,False,False,10.478069300064817
