episode,training_seed,environment_seed,total_reward,steps,epsilon,average_loss,replay_memory_size,total_environment_steps,terminated,truncated,solved,elapsed_seconds
49,2,20048,36.79957507821442,1000,0.3791854228312336,1.8942570749223233,11472,11472,False,True,False,23.92220829986036
50,2,20049,-50.19935109676301,522,0.3716017143746089,2.0017355139799045,11994,11994,True,False,False,25.175708999857306
51,2,20050,41.57199347230758,1000,0.36416968008711675,1.947307469278574,12994,12994,False,True,False,27.45196960004978
52,2,20051,84.31159153301552,1000,0.3568862864853744,2.0109317527413366,13994,13994,False,True,False,29.73329159989953
53,2,20052,58.50738271429719,1000,0.3497485607556669,2.043354081809521,14994,14994,False,True,False,32.15637219999917
54,2,20053,43.546694146093714,1000,0.34275358954055357,2.1389365634322166,15994,15994,False,True,False,34.40858329995535
55,2,20054,52.909421187282206,1000,0.3358985177497425,2.3051049770712853,16994,16994,False,True,False,36.68461830005981
56,2,20055,93.2857107234994,1000,0.3291805473947476,2.298367883503437,17994,17994,False,True,False,39.12557869986631
57,2,20056,-31.68950208459414,152,0.32259693644685267,2.3104926669283916,18146,18146,True,False,False,39.491670300019905
58,2,20057,90.5633130966124,1000,0.3161449977179156,2.337587318986654,19146,19146,False,True,False,41.75806190003641
